Name,Phone Number,Province,Sport,Game Attendance,Age,Called,Call Center,Call Outcome,Applied,Decision
Miya Charles,728190618071,New Brunswick,rugby,0.2,33,False,East,,,
Deangelo Cobb,255217276432,Alberta,soccer,0.81,24,False,West,,,
Adam Rogers,538482482123,Ontario,baseball,0.3,33,False,South,,,
Demarion Dudley,913979679898,British Columbia,ice hockey,0.43,26,False,West,,,
Scott Medina,676902221026,Ontario,ice hockey,0.36,25,False,South,,,
Tessa Lowe,822568222276,Nova Scotia,rugby,0.66,29,False,East,,,
Jaylin Bailey,422215394903,British Columbia,ice hockey,0.61,25,False,West,,,
Francisco Curtis,775967173668,Alberta,soccer,0.4,20,True,West,interested,True,rejected
Osvaldo Griffin,596918287046,British Columbia,cricket,0.3,28,False,West,,,
Yoselin Moyer,242633357110,Ontario,tennis,0.31,22,True,South,not interested,False,
Tia Gill,215717549275,Alberta,baseball,0.13,34,False,West,,,
Allan Rice,461583759140,Saskatchewan,cricket,0.52,28,False,West,,,
Mariyah Martinez,177774112860,Ontario,soccer,0.2,21,False,South,,,
Rayna Zavala,427059329636,Alberta,ice hockey,0.52,27,False,West,,,
Carly Henderson,795738037336,Ontario,ice hockey,0.36,63,False,South,,,
Jaydin Johns,282437875193,Saskatchewan,soccer,0.39,19,True,West,interested,False,
Luis Cook,365700652506,Saskatchewan,cricket,0.36,20,True,West,not interested,False,
Jaslyn Huang,622627548851,Quebec,baseball,0.16,21,False,East,,,
Jaydan English,799963799258,Ontario,cricket,0.36,20,False,South,,,
Toby Wheeler,278871372613,Ontario,baseball,0.84,64,False,South,,,
Lacey Carson,790707462964,Quebec,soccer,0.65,41,False,East,,,
Alisson Morris,335229383477,Ontario,cricket,0.2,41,False,South,,,
Remington Maldonado,26094171166,Ontario,tennis,0.32,57,False,South,,,
Miya Hood,951490979711,Ontario,baseball,0.38,19,True,South,interested,False,
Beckham Woods,183488746133,Quebec,ice hockey,0.75,48,False,East,,,
Karter Petersen,199515838864,Alberta,rugby,0.75,28,True,West,interested,True,approved
Joy Cameron,654244166698,Ontario,cricket,0.54,30,True,South,not interested,False,
Layne Sloan,896813029331,Alberta,cricket,0.5,35,False,West,,,
Kristina Durham,448518338405,Saskatchewan,cricket,0.39,38,False,West,,,
Mia Yu,435058665916,Saskatchewan,soccer,0.19,29,True,West,interested,True,rejected
Aidyn Jacobson,686336392575,Saskatchewan,baseball,0.17,41,True,West,interested,False,
Tyrese Richmond,835669007553,Alberta,ice hockey,0.66,50,False,West,,,
Shane Pearson,789539860633,British Columbia,cricket,0.42,64,False,West,,,
Darryl Sparks,550903853509,Manitoba,baseball,0.21,37,True,South,not interested,False,
Tommy Ray,63914218036,Newfoundland and Labrador,tennis,0.46,20,True,East,interested,True,approved
Natalia Mcneil,653342448175,Ontario,soccer,0.52,93,True,South,interested,False,
Ace Mendoza,150843157867,Ontario,cricket,0.62,20,True,South,interested,True,rejected
Devan Wolf,461486469681,British Columbia,ice hockey,0.73,33,False,West,,,
Yamilet Hahn,991537164703,Saskatchewan,basketball,0.2,38,False,West,,,
Valery Tran,199717877642,Saskatchewan,cricket,0.8,48,True,West,interested,True,rejected
Jamir Cohen,342915894633,Quebec,soccer,0.48,31,False,East,,,
Zachary Rasmussen,5332779215,Quebec,cricket,0.49,40,False,East,,,
Jorge Whitehead,374568977953,Prince Edward Island,ice hockey,0.88,22,True,East,interested,True,rejected
Devyn Ferguson,896945562149,Ontario,ice hockey,0.71,58,False,South,,,
Kadence Melendez,586160968419,Newfoundland and Labrador,soccer,0.66,44,False,East,,,
Coby Rowland,11970781338,Ontario,cricket,0.54,25,False,South,,,
Bridger Chang,692006147350,Saskatchewan,cricket,0.38,45,False,West,,,
Mitchell Benson,289907097704,Manitoba,ice hockey,0.3,20,False,South,,,
Ezequiel Garcia,972462879793,Ontario,rugby,0.17,25,False,South,,,
Larissa Krause,134630912651,Manitoba,tennis,0.6,20,False,South,,,
Penelope Douglas,223356979808,Alberta,soccer,0.32,71,False,West,,,
Julianne Mullins,968592023207,Alberta,baseball,0.36,33,False,West,,,
Joshua Melendez,994207530007,Alberta,ice hockey,0.62,18,False,West,,,
Rylie Burton,162788215916,British Columbia,cricket,0.55,98,False,West,,,
Leticia Mcbride,164258445693,Nova Scotia,baseball,0.77,40,False,East,,,
Heath Lester,608175743932,Alberta,rugby,0.15,25,False,West,,,
Makenzie Fry,845403260967,Newfoundland and Labrador,baseball,0.31,23,True,East,interested,True,rejected
Zoe Thornton,135201300339,British Columbia,tennis,0.68,34,False,West,,,
Jett Buchanan,589594047267,Alberta,tennis,0.76,29,False,West,,,
Sidney Murphy,47760178564,Ontario,ice hockey,0.41,20,False,South,,,
Mikaela Rodriguez,812417565083,Saskatchewan,ice hockey,0.33,42,True,West,interested,False,
Christine Wyatt,389518439821,Ontario,ice hockey,0.37,88,False,South,,,
Quentin Guzman,619076120536,Quebec,cricket,0.51,30,False,East,,,
Mikayla Pope,801229973911,Manitoba,ice hockey,0.21,52,False,South,,,
Andreas Mcknight,20381465893,British Columbia,soccer,0.11,25,False,West,,,
Amiah Baldwin,177406943088,Newfoundland and Labrador,tennis,0.63,90,False,East,,,
Justus Elliott,370553869121,Ontario,ice hockey,0.69,27,True,South,interested,True,rejected
Wade Henderson,418419806604,Ontario,ice hockey,0.35,32,False,South,,,
Salvador Harmon,727279837288,Alberta,ice hockey,0.62,25,False,West,,,
Drew Horton,166621881036,New Brunswick,ice hockey,0.3,28,False,East,,,
Emilia Bryan,540279257432,Ontario,rugby,0.32,46,False,South,,,
Natalya Whitehead,846739089008,Newfoundland and Labrador,baseball,0.12,24,False,East,,,
Rodrigo Mclaughlin,913035758044,Saskatchewan,baseball,0.29,25,True,West,not interested,False,
Alessandra Wheeler,62916783146,Saskatchewan,soccer,0.47,18,False,West,,,
Ahmad Newman,310228105981,Quebec,soccer,0.54,26,False,East,,,
Kyson Walton,833149587191,British Columbia,ice hockey,0.17,25,False,West,,,
Karsyn Blackburn,793543948168,Quebec,soccer,0.16,18,True,East,not interested,False,
Stephany Ewing,46433037626,Nova Scotia,baseball,0.21,35,False,East,,,
Giancarlo Fitzgerald,561879943113,Ontario,ice hockey,0.08,45,False,South,,,
Cyrus Costa,863847211200,Quebec,baseball,0.12,19,False,East,,,
Micah Barajas,864984444693,British Columbia,ice hockey,0.65,39,True,West,not interested,False,
Charles Wise,286249831879,Alberta,tennis,0.5,52,False,West,,,
Kristin King,71580936930,Saskatchewan,cricket,0.69,61,False,West,,,
Joel Whitehead,370321788368,Quebec,ice hockey,0.12,52,False,East,,,
Braxton Mckenzie,885410602892,Quebec,soccer,0.65,19,False,East,,,
Demetrius Dalton,74522720575,New Brunswick,soccer,0.4,37,True,East,interested,True,approved
Kenzie English,977641711639,Newfoundland and Labrador,cricket,0.59,18,False,East,,,
Ivy Grimes,400587982169,Quebec,cricket,0.18,43,False,East,,,
Jamari Gross,293403656272,Quebec,ice hockey,0.69,56,True,East,not interested,False,
Lena Mercado,946703837324,British Columbia,cricket,0.52,47,False,West,,,
Tyshawn Lynn,572747142541,Nova Scotia,ice hockey,0.34,21,True,East,not interested,False,
Molly Barry,112803058463,Ontario,tennis,0.36,20,True,South,not interested,False,
August Murillo,853214250976,Manitoba,baseball,0.52,56,False,South,,,
Gage Duffy,454550084936,Ontario,cricket,0.43,65,False,South,,,
Rodrigo Berger,828451908224,Prince Edward Island,baseball,0.23,23,True,East,interested,False,
Eduardo Foster,424523443467,Manitoba,ice hockey,0.74,23,False,South,,,
Adrienne Grant,659009141292,Ontario,rugby,0.48,91,True,South,interested,False,
Marlon Mays,946852167998,Quebec,soccer,0.75,55,False,East,,,
Karma Stokes,590266929762,British Columbia,ice hockey,0.44,23,False,West,,,
Mireya Love,493021797292,Alberta,soccer,0.09,56,True,West,not interested,False,
Jamari Andrade,930024449394,Saskatchewan,ice hockey,0.66,23,False,West,,,
Faith Bright,949015423758,Quebec,tennis,0.35,39,False,East,,,
Sarah Cruz,428970658836,Nova Scotia,baseball,0.1,32,False,East,,,
Sandra Ashley,188541254453,Manitoba,basketball,0.41,69,False,South,,,
Helen Henderson,66203290218,Saskatchewan,tennis,0.68,28,False,West,,,
Zaiden Charles,238191080375,Ontario,baseball,0.31,40,False,South,,,
Jack Conley,181990180565,Saskatchewan,baseball,0.8,93,False,West,,,
Aleena Gould,743608666693,Quebec,cricket,0.36,54,False,East,,,
Ashleigh Clayton,132424430424,Quebec,soccer,0.85,53,True,East,interested,False,
Demarcus Hahn,782359914096,British Columbia,soccer,0.13,22,False,West,,,
Devyn Burch,642109315281,Newfoundland and Labrador,cricket,0.95,20,False,East,,,
Genesis Key,630647214160,Alberta,ice hockey,0.41,51,False,West,,,
Damien Richards,77724388795,British Columbia,tennis,0.14,83,False,West,,,
Brooklyn Thomas,340531246917,British Columbia,ice hockey,0.4,97,True,West,not interested,False,
Elsa Greer,719182396393,Alberta,cricket,0.13,74,False,West,,,
Maggie Singh,224429786609,Alberta,baseball,0.39,54,False,West,,,
Meghan Mcclure,403423559002,Alberta,soccer,0.55,18,True,West,interested,True,rejected
Makai Bray,491379940965,Alberta,soccer,0.45,51,True,West,not interested,False,
Jamiya Norton,532088544932,Ontario,cricket,0.09,21,False,South,,,
Valentina Munoz,473153148478,Saskatchewan,ice hockey,0.31,27,False,West,,,
Jordyn Mcfarland,333129582323,New Brunswick,soccer,0.48,37,False,East,,,
Martha Berger,647135735129,Quebec,ice hockey,0.27,21,False,East,,,
Ayden Sosa,731962964183,Newfoundland and Labrador,soccer,0.1,27,False,East,,,
Kody Higgins,411190512333,Manitoba,ice hockey,0.43,41,False,South,,,
Makenzie Lewis,735876941321,New Brunswick,soccer,0.46,18,False,East,,,
Margaret Lozano,398749590034,Ontario,soccer,0.12,20,False,South,,,
Stanley Woods,872621552592,British Columbia,ice hockey,0.57,22,False,West,,,
Chace Conrad,324411959034,British Columbia,baseball,0.34,44,False,West,,,
Jacquelyn Sexton,69840392612,Ontario,tennis,0.42,28,False,South,,,
Camden Ochoa,593981681281,Manitoba,tennis,0.13,40,False,South,,,
Braydon Lamb,457843489194,Alberta,ice hockey,0.48,37,False,West,,,
Jean Hill,913835955176,Quebec,soccer,0.77,42,False,East,,,
Angie Mccullough,842928247715,Alberta,ice hockey,0.4,65,False,West,,,
Hallie Petty,467806584913,British Columbia,cricket,0.42,33,False,West,,,
Nathalie Bernard,755318691450,Alberta,baseball,0.91,29,True,West,interested,True,rejected
Ty Briggs,435296058586,Alberta,ice hockey,0.31,46,False,West,,,
Parker Callahan,198829465665,Quebec,ice hockey,0.72,25,False,East,,,
Brice Newton,464906920583,British Columbia,ice hockey,0.06,31,True,West,not interested,False,
Sylvia Moss,820123309023,New Brunswick,ice hockey,0.84,40,False,East,,,
Janelle Floyd,124469706659,Northwest Territories,cricket,0.24,33,False,North,,,
Madeline Ramos,364816851656,Quebec,soccer,0.85,48,False,East,,,
Karla Boyd,684108163917,Prince Edward Island,ice hockey,0.79,55,True,East,interested,True,approved
Junior Russell,982659482271,Alberta,rugby,0.86,42,True,West,not interested,False,
Ellie Pineda,884145248333,Ontario,cricket,0.57,28,False,South,,,
Hudson Martinez,980571505455,British Columbia,ice hockey,0.6,90,False,West,,,
Kyla Ballard,760909776930,Quebec,rugby,0.27,55,False,East,,,
Paige Ayala,656140438794,Quebec,ice hockey,0.38,33,False,East,,,
Jordan Sanford,740224681646,Quebec,tennis,0.24,30,False,East,,,
Kali Patton,948870514679,Saskatchewan,soccer,0.42,20,False,West,,,
Cadence Saunders,97580221365,New Brunswick,baseball,0.55,27,False,East,,,
Ellis Johns,729086544558,Ontario,ice hockey,0.65,60,False,South,,,
Ruth Crane,600680680327,British Columbia,rugby,0.31,28,False,West,,,
Amina Duffy,631845687620,Manitoba,tennis,0.76,19,False,South,,,
Joy Ashley,99272569535,Ontario,rugby,0.16,35,False,South,,,
Walter Mejia,951258624585,Saskatchewan,ice hockey,0.14,48,False,West,,,
Bethany Ray,986896813751,Quebec,baseball,0.77,19,False,East,,,
Alannah Gross,519413089625,Saskatchewan,baseball,0.22,50,False,West,,,
Roy Olsen,314909944964,Saskatchewan,baseball,0.54,54,True,West,interested,False,
Sofia Lucas,503109371495,New Brunswick,ice hockey,0.37,24,True,East,dead line,False,
Jovanni Wade,837787819652,Ontario,soccer,0.82,51,True,South,interested,True,approved
Jocelynn Short,885234876791,Quebec,cricket,0.29,37,False,East,,,
Aidan Houston,541882435557,Nova Scotia,cricket,0.4,29,True,East,interested,True,rejected
Corinne Lewis,60858889763,Quebec,soccer,0.09,30,False,East,,,
Marvin Christensen,74310588137,British Columbia,baseball,0.32,35,False,West,,,
Eli Garza,430149143567,Saskatchewan,cricket,0.08,19,False,West,,,
Krish Booker,449931217647,Ontario,cricket,0.41,78,False,South,,,
Dayana Hammond,213312512069,Nova Scotia,basketball,0.42,34,True,East,not interested,False,
Franco Hanson,874729416558,Ontario,ice hockey,0.19,24,False,South,,,
Nora Cox,493496188880,Ontario,soccer,0.59,36,True,South,dead line,False,
Noemi Thomas,800936642456,British Columbia,ice hockey,0.33,33,True,West,not interested,False,
Donavan Bailey,171366879271,Ontario,baseball,0.44,61,False,South,,,
Cheyanne Chen,513490120254,Ontario,rugby,0.19,29,False,South,,,
Mylee Yoder,620685451189,New Brunswick,soccer,0.52,40,False,East,,,
Ace Garza,692476364874,Quebec,soccer,0.86,19,False,East,,,
Kaydence Meadows,999953909086,Saskatchewan,ice hockey,0.89,20,True,West,not interested,False,
Abby Sandoval,628852381004,Ontario,cricket,0.23,39,False,South,,,
Jade Carr,981496863071,Northwest Territories,cricket,0.22,25,False,North,,,
Lea Travis,475729934141,Saskatchewan,ice hockey,0.24,37,True,West,interested,False,
Jaqueline Hart,752200024181,Ontario,ice hockey,0.21,51,True,South,interested,True,rejected
Diana Rowe,208821449788,Quebec,ice hockey,0.34,38,False,East,,,
Azul Wolf,76223398937,Prince Edward Island,baseball,0.26,24,False,East,,,
Fernanda Sellers,622276431538,Alberta,tennis,0.85,45,False,West,,,
Ace Ramos,102916374471,Ontario,rugby,0.83,55,False,South,,,
Zariah Burnett,529555207619,British Columbia,baseball,0.74,25,True,West,interested,False,
Avah Christian,918786132601,Alberta,rugby,0.33,24,False,West,,,
Haiden Ware,27360880582,Quebec,baseball,0.48,33,True,East,interested,True,approved
Draven Eaton,358194005976,Saskatchewan,ice hockey,0.91,29,False,West,,,
Janiyah Holder,221028552294,Quebec,baseball,0.57,19,False,East,,,
Bennett Lopez,351313554998,Ontario,soccer,0.18,49,True,South,not interested,False,
Leah Bowen,648970118414,Alberta,ice hockey,0.19,31,True,West,not interested,False,
Jamarion Sellers,726678844143,Manitoba,baseball,0.48,55,True,South,interested,True,rejected
Immanuel Zhang,798477435843,Manitoba,soccer,0.26,20,True,South,not interested,False,
Ibrahim Medina,229763832989,British Columbia,cricket,0.35,32,True,West,interested,True,approved
Lizeth Novak,956288895764,Quebec,soccer,0.33,46,False,East,,,
Scott Frazier,74464435077,Quebec,cricket,0.5,59,False,East,,,
Lincoln Peck,961915190207,Saskatchewan,ice hockey,0.39,50,True,West,not interested,False,
Amara Kemp,571735483642,Ontario,ice hockey,0.17,30,False,South,,,
Sebastian Kidd,310541779745,Ontario,soccer,0.46,19,False,South,,,
Orion Lawrence,625776767779,Ontario,soccer,0.34,19,False,South,,,
Leonel Larsen,986850689594,Saskatchewan,ice hockey,0.44,55,False,West,,,
Mariela Dorsey,696345806409,Manitoba,rugby,0.54,35,False,South,,,
Mara Huffman,345838373101,Quebec,ice hockey,0.1,39,False,East,,,
Rylee Ingram,470366412488,Manitoba,cricket,0.59,22,True,South,interested,True,rejected
Alissa Finley,874229222269,Quebec,ice hockey,0.31,26,False,East,,,
Baron Huffman,623197558566,Manitoba,baseball,0.31,49,False,South,,,
Dale Deleon,710814483997,Quebec,baseball,0.56,35,False,East,,,
Everett Rodriguez,175280889000,Nova Scotia,ice hockey,0.62,38,False,East,,,
Hamza Miller,611656875918,Manitoba,ice hockey,0.31,80,False,South,,,
Cole Rivera,97974103352,British Columbia,soccer,0.53,19,False,West,,,
Anaya Lam,529283884802,Ontario,cricket,0.87,59,True,South,interested,True,rejected
Amelie Barry,457515767233,Ontario,soccer,0.42,60,False,South,,,
Aydan Morales,856377632842,Saskatchewan,tennis,0.32,58,False,West,,,
Noah Mccullough,276895006784,British Columbia,ice hockey,0.49,26,False,West,,,
Lea Hendricks,972804501112,Newfoundland and Labrador,basketball,0.24,42,False,East,,,
Valentina Harding,354260310273,Manitoba,ice hockey,0.25,37,False,South,,,
Amelia Hensley,500295416840,Quebec,baseball,0.08,41,True,East,dead line,False,
Kyan Stewart,954780273026,British Columbia,soccer,0.39,44,False,West,,,
Dayami Mcknight,942140030808,British Columbia,baseball,0.89,56,False,West,,,
Bridger Moon,177464128890,Nova Scotia,ice hockey,0.44,19,False,East,,,
